ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
85,El Tarter – Pas de la Casa/Grau Roig/Soldeu/Canillo/Encamp (Grandvalira),42.5803334,1.6496963,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No
41,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,42.54115005,1.733382094,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,Yes,Yes,Yes,No
156,Soldeu-Pas de la Casa/Grau Roig/El Tarter/Canillo/Encamp (Grandvalira),42.5768944,1.6682694,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No
148,Alpendorf (Ski amedé),47.3225067,13.1954241,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,52,November - April,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,Yes,No,No
184,Bad Kleinkirchheim-St. Oswald,46.8442215,13.7662406,Austria,Europe,47,December - April,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,Yes,Yes,No
236,Damuls Mellau,47.314039,9.894201083,Austria,Europe,49,December - April,2050,690,37,39,1,77,7,130,10,13,2,25,37160,Yes,Yes,No,No
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,49,December - April,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,Yes,Yes,No
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,53,November - April,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,Yes,Yes,No
106,Flachau (Ski amedé),47.3438501,13.3922888,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
102,Hochkonig-Maria Alm/Dienten/Muhlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,Yes,Yes,No
108,Ischgl,46.9862824,10.27451769,Austria,Europe,52,November - May,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,Yes,No,No
228,Kaltenbach-Hochzillertal-Hochfugen-SKi-optimal,47.27705405,11.8486795,Austria,Europe,52,November - April,2378,600,28,41,13,82,11,400,22,12,5,39,59933,Yes,Yes,Yes,No
255,Katschberg,47.0593103,13.615553,Austria,Europe,46,November - April,2220,1066,10,50,10,70,6,750,9,6,2,17,26458,Yes,Yes,Yes,No
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,55,October - April,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,Yes,Yes,No
111,Lech (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,6,747,53,45,15,113,145127,Yes,Yes,No,No
103,Mayrhofen-Penken/Ahorn/Rastkogel/Eggalm,47.1672188,11.8638664,Austria,Europe,52,December - April,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,Yes,No,No
180,Nassfeld-Hermagor,46.58465625,13.24612886,Austria,Europe,46,December - April,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,Yes,Yes,No
249,Nauders am Reschenpass-Bergkastel,46.87101815,10.53500477,Austria,Europe,42,December - April,2850,1400,24,34,13,71,9,92,11,5,1,17,17651,Yes,Yes,No,No
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No
99,Obertauern,47.2494362,13.5569603,Austria,Europe,46,November - May,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,Yes,Yes,No
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No
115,Schladming (4-Berge-Skischauke),47.3940415,13.6867878,Austria,Europe,52,April,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,Yes,Yes,No
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,Yes,Yes,No
119,Silvretta Montafon,47.03503335,9.976778589,Austria,Europe,53,November - April,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,Yes,No,No
107,Ski Juwel Alpbachtal Wildschonau,47.395203,11.92651,Austria,Europe,46,December - April,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,Yes,Yes,No
104,St. Anton (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,Yes,No,No
123,St. Christoph (Ski Arlberg),47.022264,15.4708255,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No
121,Söll (SkiWelt Wilder Kaiser-Brixental),47.503178,12.190132,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),47.3831879,12.22174856,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
240,Zell am See,47.3239636,12.7963165,Austria,Europe,50,December - April,2000,760,30,28,19,77,6,450,9,10,8,27,48407,Yes,Yes,Yes,No
161,Zillertal Arena-Zell am Ziller-Gerlos-Konigsleiten-Hochkrimml,47.24372605,12.03918599,Austria,Europe,52,December - April,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,Yes,No,No
120,Zürs (Ski Arlberg),47.194717,10.160198,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
